,split_0,split_1,mean,std,min,max
radius error,0.1219494859833033,0.11837196222710644,0.12016072410520487,0.0017887618780984271,0.0017887618780984271,0.1219494859833033
worst symmetry,0.11931196736166176,0.0,0.05965598368083088,0.05965598368083088,0.0,0.11931196736166176
fractal dimension error,0.11930590856129679,0.0,0.059652954280648395,0.059652954280648395,0.0,0.11930590856129679
worst smoothness,0.022457199099578898,0.06573620758209518,0.04409670334083704,0.021639504241258142,0.021639504241258142,0.06573620758209518
worst area,0.015368630327176018,0.0600090947503468,0.03768886253876141,0.02232023221158539,0.015368630327176018,0.0600090947503468
mean texture,0.07046281885081548,0.0,0.03523140942540774,0.03523140942540774,0.0,0.07046281885081548
worst radius,0.0,0.060293663199440906,0.030146831599720453,0.030146831599720453,0.0,0.060293663199440906
worst texture,0.031698556258313415,0.022312317707904285,0.027005436983108852,0.004693119275204565,0.004693119275204565,0.031698556258313415
worst concavity,0.03562363593350533,0.012117139819113163,0.023870387876309247,0.011753248057196084,0.011753248057196084,0.03562363593350533
worst concave points,0.012962656203434869,0.027621742214146646,0.02029219920879076,0.0073295430053558885,0.0073295430053558885,0.027621742214146646
concavity error,0.037330639762840144,0.0,0.018665319881420072,0.018665319881420072,0.0,0.037330639762840144
texture error,0.016096811672754664,0.013927686939933135,0.0150122493063439,0.0010845623664107644,0.0010845623664107644,0.016096811672754664
mean area,0.019016774245288005,0.007730990973490883,0.013373882609389444,0.005642891635898562,0.005642891635898562,0.019016774245288005
mean fractal dimension,0.0,0.021189441049691633,0.010594720524845816,0.010594720524845816,0.0,0.021189441049691633
worst perimeter,0.003286983550790218,0.017741743063317186,0.010514363307053702,0.007227379756263484,0.003286983550790218,0.017741743063317186
smoothness error,0.02012987504032473,0.0,0.010064937520162366,0.010064937520162366,0.0,0.02012987504032473
mean concave points,0.012882052359036016,0.0,0.006441026179518008,0.006441026179518008,0.0,0.012882052359036016
compactness error,0.009882425630931262,0.0,0.004941212815465631,0.004941212815465631,0.0,0.009882425630931262
mean compactness,0.006885419167557989,0.0,0.0034427095837789943,0.0034427095837789943,0.0,0.006885419167557989
perimeter error,0.0,0.002977143850697891,0.0014885719253489454,0.0014885719253489454,0.0,0.002977143850697891
mean smoothness,0.0,0.0,0.0,0.0,0.0,0.0
mean concavity,0.0,0.0,0.0,0.0,0.0,0.0
mean perimeter,0.0,0.0,0.0,0.0,0.0,0.0
worst fractal dimension,0.0,0.0,0.0,0.0,0.0,0.0
mean symmetry,0.0,0.0,0.0,0.0,0.0,0.0
area error,0.0,0.0,0.0,0.0,0.0,0.0
concave points error,0.0,0.0,0.0,0.0,0.0,0.0
symmetry error,0.0,0.0,0.0,0.0,0.0,0.0
worst compactness,0.0,0.0,0.0,0.0,0.0,0.0
mean radius,0.0,0.0,0.0,0.0,0.0,0.0
